"column1","url","title","organisation","rating","Rating Count","enrollments","Mode","Level","duration","Language","subtitles","price","Course Package","Course Projects"
10,https://www.coursera.org/learn/10k-women-4,"Fundamentals of Customers and Competition, with Goldman Sachs 10,000 Women",Goldman Sachs,"4.8","245 ","12,791","100% online",NA,Approx. 4 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",0,-,Coursera Labs
11,https://www.coursera.org/learn/10k-women-4-hi,"Goldman Sachs 10,000 Women के साथ, ग्राहकों और प्रतिस्पर्धा के मूल सिद्धांत",Goldman Sachs,NA,NA,"222,682","100% online",NA,Approx. 4 hours to complete,Hindi, Hindi,0,-,Coursera Labs
12,https://www.coursera.org/learn/10k-women-5,"Fundamentals of Financial Planning, with Goldman Sachs 10,000 Women",Goldman Sachs,"4.7","319 ","21,168","100% online",NA,Approx. 2 hours to complete,English," French, Portuguese (European), Portuguese (Brazilian), Russian, English, Spanish",0,-,Coursera Labs
13,https://www.coursera.org/learn/10k-women-5-hi,"Goldman Sachs 10,000 Women के साथ, वित्तीय योजना के मूल सिद्धांत",Goldman Sachs,NA,NA,"222,682","100% online",NA,Approx. 2 hours to complete,Hindi, Hindi,0,-,Coursera Labs
14,https://www.coursera.org/learn/10k-women-6,"Fundamentals of Sales and Marketing, with Goldman Sachs 10,000 Women",Goldman Sachs,"4.6","774 ","49,031","100% online",NA,Approx. 4 hours to complete,English," Arabic, French, Portuguese (European), Italian, Portuguese (Brazilian), Vietnamese, German, Russian, English, Spanish, Persian",0,-,Coursera Labs
15,https://www.coursera.org/learn/10k-women-6-hi,"Goldman Sachs 10,000 Women के साथ, विक्रय और विपणन के मूल सिद्धांत",Goldman Sachs,NA,NA,"222,682","100% online",NA,Approx. 4 hours to complete,Hindi, Hindi,0,-,Coursera Labs
16,https://www.coursera.org/learn/10k-women-7,"Fundamentals of Operations, with Goldman Sachs 10,000 Women",Goldman Sachs,"4.6","262 ","13,041","100% online",NA,Approx. 3 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",0,-,Coursera Labs
17,https://www.coursera.org/learn/10k-women-7-hi,"Goldman Sachs 10,000 Women के साथ, संचालन के मूल सिद्धांत",Goldman Sachs,NA,NA,"222,682","100% online",NA,Approx. 3 hours to complete,Hindi, Hindi,0,-,Coursera Labs
18,https://www.coursera.org/learn/10k-women-8,"Fundamentals of Management, with Goldman Sachs 10,000 Women",Goldman Sachs,"4.7","487 ","22,845","100% online",NA,Approx. 3 hours to complete,English," French, Portuguese (European), Portuguese (Brazilian), Russian, English, Spanish",0,-,Coursera Labs
19,https://www.coursera.org/learn/10k-women-8-hi,"Goldman Sachs 10,000 Women के साथ, प्रबंधन के मूल सिद्धांत",Goldman Sachs,NA,NA,"222,682","100% online",NA,Approx. 3 hours to complete,Hindi, Hindi,0,-,Coursera Labs
